Regiao,Estado,Municipio,Nome da Rua,Numero Rua,Bairro,Cep,Produto,Valor de Venda,Bandeira
NE,MA,PINHEIRO,AVENIDA PAULO RAMOS,202,CENTRO,65200000,DIESEL,6.19,BRANCA
NE,MA,PINHEIRO,AVENIDA PAULO RAMOS,202,CENTRO,65200000,DIESEL S10,6.19,BRANCA
S,SC,CRICIUMA,AVENIDA UNIVERSITARIA,1184,SANTA LUZIA,88807260,GASOLINA,5.77,VIBRA
S,SC,CRICIUMA,AVENIDA UNIVERSITARIA,1184,SANTA LUZIA,88807260,GASOLINA ADITIVADA,5.87,VIBRA
S,SC,CRICIUMA,AVENIDA UNIVERSITARIA,1184,SANTA LUZIA,88807260,DIESEL S10,5.99,VIBRA
S,SC,CRICIUMA,RODOVIA GOVERNADOR JORGE LACERDA,12295,VERDINHO,88814551,GASOLINA ADITIVADA,5.09,IPIRANGA
S,SC,CRICIUMA,RODOVIA GOVERNADOR JORGE LACERDA,12295,VERDINHO,88814551,DIESEL,5.69,IPIRANGA
S,SC,CRICIUMA,RODOVIA GOVERNADOR JORGE LACERDA,12295,VERDINHO,88814551,DIESEL S10,5.89,IPIRANGA
S,SC,CRICIUMA,RODOVIA GOVERNADOR JORGE LACERDA,12295,VERDINHO,88814551,ETANOL,3.99,IPIRANGA
S,SC,CRICIUMA,RODOVIA GOVERNADOR JORGE LACERDA,12295,VERDINHO,88814551,GASOLINA,4.99,IPIRANGA
SE,RJ,CAMPOS DOS GOYTACAZES,AVENIDA ALBERTO TORRES,214,PARQUE LEOPOLDINA,28053587,GASOLINA,5.99,VIBRA
SE,RJ,CAMPOS DOS GOYTACAZES,AVENIDA ALBERTO TORRES,214,PARQUE LEOPOLDINA,28053587,DIESEL,5.79,VIBRA
SE,RJ,CAMPOS DOS GOYTACAZES,AVENIDA ALBERTO TORRES,214,PARQUE LEOPOLDINA,28053587,DIESEL S10,5.99,VIBRA
SE,SP,SAO JOSE DOS CAMPOS,AVENIDA JOAO RODOLFO CASTELLI,665,PUTIM,12228000,GASOLINA,5.29,RAIZEN
SE,SP,SAO JOSE DOS CAMPOS,AVENIDA JOAO RODOLFO CASTELLI,665,PUTIM,12228000,DIESEL,6.19,RAIZEN
SE,SP,SAO JOSE DOS CAMPOS,AVENIDA JOAO RODOLFO CASTELLI,665,PUTIM,12228000,ETANOL,3.29,RAIZEN
NE,AL,MACEIO,AVENIDA PRESIDENTE GETULIO VARGAS,210,SERRARIA,57046140,GASOLINA,5.39,IPIRANGA
NE,AL,MACEIO,AVENIDA PRESIDENTE GETULIO VARGAS,210,SERRARIA,57046140,DIESEL S10,5.19,IPIRANGA
NE,AL,MACEIO,AVENIDA PRESIDENTE GETULIO VARGAS,210,SERRARIA,57046140,ETANOL,3.49,IPIRANGA
NE,PI,TERESINA,AVENIDA JOÃO XXIII,805,NOIVOS,64045000,GASOLINA,5.19,RAIZEN
